chrom	end	end_orig	end_prox	pos	start	start_orig	start_prox	bin
1	0	10506751	10506362	0.0	0	10500751	10506362	0.0
1	0	23171138	23169232	0.0	0	23167138	23169232	0.0
1	0	41209103	41197696	0.0	0	41197103	41197696	0.0
1	0	50807418	50796176	0.0	0	50795418	50796176	0.0
1	0	54964781	54958440	0.0	0	54954781	54958440	0.0
1	0	57398526	57394654	0.0	0	57392526	57394654	0.0
1	0	57937504	57936040	0.0	0	57931504	57936040	0.0
1	0	76857050	76854240	0.0	0	76853050	76854240	0.0
1	0	86976047	86969124	0.0	0	86968047	86969124	0.0
1	0	90351087	90347748	0.0	0	90343087	90347748	0.0
1	0	118482197	118480524	0.0	0	118478197	118480524	0.0
1	0	24283507	24278990	0.0	0	24277507	24278990	0.0
1	0	26300007	26299688	0.0	0	26296007	26299688	0.0
1	0	29889142	29881602	0.0	0	29881142	29881602	0.0
1	0	31239002	31235012	0.0	0	31235002	31235012	0.0
1	0	41209103	41206114	0.0	0	41197103	41206114	0.0
1	0	44556384	44550264	0.0	0	44548384	44550264	0.0
1	0	48742061	48736086	0.0	0	48734061	48736086	0.0
1	0	50807418	50798220	0.0	0	50795418	50798220	0.0
1	0	56716081	56710660	0.0	0	56708081	56710660	0.0
1	0	65913110	65912194	0.0	0	65909110	65912194	0.0
1	0	68394526	68389766	0.0	0	68388526	68389766	0.0
1	0	69934520	69929500	0.0	0	69928520	69929500	0.0
1A	0	14102042	14095884	0.0	0	14094042	14095884	0.0
1A	0	22531503	22527084	0.0	0	22525503	22527084	0.0
1A	0	22797527	22788514	0.0	0	22783527	22788514	0.0
1A	0	26257055	26249974	0.0	0	26249055	26249974	0.0
1A	0	26673586	26670430	0.0	0	26667586	26670430	0.0
1A	0	28015515	28001974	0.0	0	28001515	28001974	0.0
1A	0	30192225	30178944	0.0	0	30172225	30178944	0.0
1A	0	33565015	33560502	0.0	0	33557015	33560502	0.0
1A	0	35193592	35185528	0.0	0	35183592	35185528	0.0
1A	0	45028781	45026920	0.0	0	45022781	45026920	0.0
1A	0	48484503	48479810	0.0	0	48474503	48479810	0.0
1A	0	59318599	59314950	0.0	0	59312599	59314950	0.0
1A	0	19570025	19568890	0.0	0	19566025	19568890	0.0
1A	0	22797527	22797490	0.0	0	22783527	22797490	0.0
1A	0	23962632	23960496	0.0	0	23956632	23960496	0.0
1A	0	30192225	30188390	0.0	0	30172225	30188390	0.0
1A	0	37111542	37109976	0.0	0	37093542	37109976	0.0
1A	0	43691237	43684704	0.0	0	43683237	43684704	0.0
1A	0	47069013	47068606	0.0	0	47065013	47068606	0.0
1A	0	48275062	48269190	0.0	0	48263062	48269190	0.0
1A	0	59318599	59314654	0.0	0	59312599	59314654	0.0
2	0	30086043	30084338	0.0	0	30082043	30084338	0.0
2	0	57956003	57954726	0.0	0	57952003	57954726	0.0
2	0	63140536	63131456	0.0	0	63130536	63131456	0.0
2	0	64698510	64693130	0.0	0	64692510	64693130	0.0
2	0	91306030	91303502	0.0	0	91298030	91303502	0.0
2	0	92297523	92291958	0.0	0	92291523	92291958	0.0
2	0	93929014	93925286	0.0	0	93925014	93925286	0.0
2	0	94133302	94129466	0.0	0	94129302	94129466	0.0
2	0	108766128	108758280	0.0	0	108758128	108758280	0.0
2	0	116609521	116603950	0.0	0	116603521	116603950	0.0
2	0	122373400	122369614	0.0	0	122367400	122369614	0.0
2	0	124041679	124040250	0.0	0	124031679	124040250	0.0
2	0	135115124	135108264	0.0	0	135107124	135108264	0.0
2	0	21556503	21552048	0.0	0	21550503	21552048	0.0
2	0	24813505	24812242	0.0	0	24803505	24812242	0.0
2	0	25748760	25743108	0.0	0	25742760	25743108	0.0
2	0	27247084	27244110	0.0	0	27243084	27244110	0.0
2	0	31982029	31978056	0.0	0	31978029	31978056	0.0
2	0	34391001	34383342	0.0	0	34383001	34383342	0.0
2	0	35154506	35153102	0.0	0	35140506	35153102	0.0
2	0	49310487	49307634	0.0	0	49302487	49307634	0.0
2	0	52351007	52350266	0.0	0	52347007	52350266	0.0
2	0	64160453	64157156	0.0	0	64154453	64157156	0.0
2	0	71448687	71445594	0.0	0	71442687	71445594	0.0
2	0	89318509	89313534	0.0	0	89312509	89313534	0.0
2	0	95055084	95052294	0.0	0	95047084	95052294	0.0
2	0	113819536	113811822	0.0	0	113809536	113811822	0.0
2	0	115579528	115577512	0.0	0	115573528	115577512	0.0
2	0	123523036	123519680	0.0	0	123519036	123519680	0.0
2	0	124041679	124031898	0.0	0	124031679	124031898	0.0
3	0	88463	85206	0.0	0	84463	85206	0.0
3	0	24889510	24884014	0.0	0	24883510	24884014	0.0
3	0	28396025	28388650	0.0	0	28388025	28388650	0.0
3	0	29809092	29802132	0.0	0	29801092	29802132	0.0
3	0	34200632	34194622	0.0	0	34192632	34194622	0.0
3	0	36994033	36990600	0.0	0	36990033	36990600	0.0
3	0	40700605	40699094	0.0	0	40694605	40699094	0.0
3	0	42735106	42728774	0.0	0	42727106	42728774	0.0
3	0	43778504	43778084	0.0	0	43772504	43778084	0.0
3	0	58488630	58485828	0.0	0	58482630	58485828	0.0
3	0	59381542	59380200	0.0	0	59375542	59380200	0.0
3	0	61486304	61484422	0.0	0	61482304	61484422	0.0
3	0	65537505	65532346	0.0	0	65527505	65532346	0.0
3	0	66165042	66162808	0.0	0	66157042	66162808	0.0
3	0	69138524	69134886	0.0	0	69132524	69134886	0.0
3	0	70236062	70233552	0.0	0	70232062	70233552	0.0
3	0	74979185	74976302	0.0	0	74969185	74976302	0.0
3	0	77883534	77876542	0.0	0	77873534	77876542	0.0
3	0	77883534	77878810	0.0	0	77873534	77878810	0.0
3	0	85262510	85259614	0.0	0	85256510	85259614	0.0
3	0	90658518	90655394	0.0	0	90652518	90655394	0.0
3	0	97111510	97109468	0.0	0	97105510	97109468	0.0
3	0	98435049	98433148	0.0	0	98431049	98433148	0.0
3	0	101329089	101328496	0.0	0	101325089	101328496	0.0
3	0	26430552	26426080	0.0	0	26420552	26426080	0.0
3	0	26430552	26430536	0.0	0	26420552	26430536	0.0
3	0	26526501	26523398	0.0	0	26520501	26523398	0.0
3	0	28396025	28389344	0.0	0	28388025	28389344	0.0
3	0	28857007	28848352	0.0	0	28845007	28848352	0.0
3	0	34200632	34194700	0.0	0	34192632	34194700	0.0
3	0	35863015	35862318	0.0	0	35855015	35862318	0.0
3	0	36994033	36990814	0.0	0	36990033	36990814	0.0
3	0	44702512	44697736	0.0	0	44692512	44697736	0.0
3	0	44906554	44903858	0.0	0	44900554	44903858	0.0
3	0	53483660	53477866	0.0	0	53477660	53477866	0.0
3	0	56994037	56992736	0.0	0	56990037	56992736	0.0
3	0	57919603	57918808	0.0	0	57913603	57918808	0.0
