chrom	end	end_orig	end_prox	pos	start	start_orig	start_prox	bin
1	0	10506751	10503992	0.0	0	10500751	10503992	0.0
1	0	12464694	12464298	0.0	0	12460694	12464298	0.0
1	0	15179881	15176372	0.0	0	15173881	15176372	0.0
1	0	16725015	16724832	0.0	0	16721015	16724832	0.0
1	0	20699371	20694696	0.0	0	20691371	20694696	0.0
1	0	23171138	23169076	0.0	0	23167138	23169076	0.0
1	0	23171138	23169398	0.0	0	23167138	23169398	0.0
1	0	23355561	23355018	0.0	0	23349561	23355018	0.0
1	0	26003319	26000798	0.0	0	25999319	26000798	0.0
1	0	26699883	26694320	0.0	0	26689883	26694320	0.0
1	0	28094146	28089936	0.0	0	28086146	28089936	0.0
1	0	31239002	31237262	0.0	0	31235002	31237262	0.0
1	0	31454513	31451832	0.0	0	31448513	31451832	0.0
1	0	33586557	33583174	0.0	0	33580557	33583174	0.0
1	0	33683016	33680976	0.0	0	33679016	33680976	0.0
1	0	33732388	33731454	0.0	0	33724388	33731454	0.0
1	0	37965510	37962334	0.0	0	37959510	37962334	0.0
1	0	41126396	41122438	0.0	0	41118396	41122438	0.0
1	0	41373719	41370608	0.0	0	41367719	41370608	0.0
1	0	41713506	41712114	0.0	0	41707506	41712114	0.0
1	0	41742513	41739696	0.0	0	41736513	41739696	0.0
1	0	46321582	46320246	0.0	0	46315582	46320246	0.0
1	0	46866044	46863156	0.0	0	46862044	46863156	0.0
1	0	48081513	48079804	0.0	0	48071513	48079804	0.0
1	0	50627204	50626080	0.0	0	50623204	50626080	0.0
1	0	50807418	50805062	0.0	0	50795418	50805062	0.0
1	0	51120510	51117594	0.0	0	51114510	51117594	0.0
1	0	51510558	51507490	0.0	0	51504558	51507490	0.0
1	0	53032055	53031810	0.0	0	53028055	53031810	0.0
1	0	53695510	53692758	0.0	0	53689510	53692758	0.0
1	0	53822053	53819516	0.0	0	53818053	53819516	0.0
1	0	54964781	54961936	0.0	0	54954781	54961936	0.0
1	0	55216625	55214046	0.0	0	55210625	55214046	0.0
1	0	55951013	55948758	0.0	0	55947013	55948758	0.0
1	0	57009809	57005484	0.0	0	57003809	57005484	0.0
1	0	57047185	57045946	0.0	0	57043185	57045946	0.0
1	0	57937504	57934978	0.0	0	57931504	57934978	0.0
1	0	62977578	62974260	0.0	0	62971578	62974260	0.0
1	0	68394526	68392850	0.0	0	68388526	68392850	0.0
1	0	68433505	68431740	0.0	0	68427505	68431740	0.0
1	0	74690027	74687484	0.0	0	74686027	74687484	0.0
1	0	74740587	74739586	0.0	0	74732587	74739586	0.0
1	0	75506003	75503272	0.0	0	75494003	75503272	0.0
1	0	76202762	76200164	0.0	0	76198762	76200164	0.0
1	0	79157527	79154000	0.0	0	79147527	79154000	0.0
1	0	80055024	80054528	0.0	0	80051024	80054528	0.0
1	0	81887604	81885698	0.0	0	81881604	81885698	0.0
1	0	84428555	84427286	0.0	0	84422555	84427286	0.0
1	0	86976047	86968452	0.0	0	86968047	86968452	0.0
1	0	86976047	86972664	0.0	0	86968047	86972664	0.0
1	0	87096701	87091832	0.0	0	87082701	87091832	0.0
1	0	87920506	87919346	0.0	0	87914506	87919346	0.0
1	0	88431067	88427338	0.0	0	88423067	88427338	0.0
1	0	88468389	88465164	0.0	0	88462389	88465164	0.0
1	0	88519504	88518430	0.0	0	88513504	88518430	0.0
1	0	90416459	90415872	0.0	0	90404459	90415872	0.0
1	0	90603750	90600604	0.0	0	90597750	90600604	0.0
1	0	93006006	93005874	0.0	0	92998006	93005874	0.0
1	0	95528459	95527976	0.0	0	95524459	95527976	0.0
1	0	96798148	96793618	0.0	0	96790148	96793618	0.0
1	0	100005038	100003070	0.0	0	100001038	100003070	0.0
1	0	12666512	12660060	0.0	0	12656512	12660060	0.0
1	0	13829010	13821600	0.0	0	13817010	13821600	0.0
1	0	25616063	25614226	0.0	0	25612063	25614226	0.0
1	0	29844058	29836830	0.0	0	29836058	29836830	0.0
1	0	31239002	31236228	0.0	0	31235002	31236228	0.0
1	0	31454513	31450942	0.0	0	31448513	31450942	0.0
1	0	32104539	32101260	0.0	0	32098539	32101260	0.0
1	0	32427028	32425592	0.0	0	32423028	32425592	0.0
1	0	33439526	33436514	0.0	0	33433526	33436514	0.0
1	0	41713506	41711606	0.0	0	41707506	41711606	0.0
1	0	44556384	44552280	0.0	0	44548384	44552280	0.0
1	0	45997534	45993830	0.0	0	45991534	45993830	0.0
1	0	46393219	46390138	0.0	0	46389219	46390138	0.0
1	0	46620015	46618392	0.0	0	46616015	46618392	0.0
1	0	47770029	47768672	0.0	0	47766029	47768672	0.0
1	0	48081513	48075606	0.0	0	48071513	48075606	0.0
1	0	48742061	48737092	0.0	0	48734061	48737092	0.0
1	0	50807418	50800116	0.0	0	50795418	50800116	0.0
1	0	50897086	50892116	0.0	0	50891086	50892116	0.0
1	0	51291507	51288658	0.0	0	51285507	51288658	0.0
1	0	53032055	53028536	0.0	0	53028055	53028536	0.0
1	0	56639921	56633980	0.0	0	56633921	56633980	0.0
1	0	56716081	56711794	0.0	0	56708081	56711794	0.0
1	0	57632049	57630402	0.0	0	57628049	57630402	0.0
1	0	68394526	68391850	0.0	0	68388526	68391850	0.0
1	0	68433505	68430404	0.0	0	68427505	68430404	0.0
1	0	69465540	69462552	0.0	0	69459540	69462552	0.0
1	0	69934520	69929934	0.0	0	69928520	69929934	0.0
1	0	70897301	70895034	0.0	0	70893301	70895034	0.0
1	0	71246065	71242178	0.0	0	71242065	71242178	0.0
1	0	74740587	74733220	0.0	0	74732587	74733220	0.0
1	0	75751061	75746306	0.0	0	75743061	75746306	0.0
1	0	77040020	77036316	0.0	0	77032020	77036316	0.0
1	0	79798029	79797866	0.0	0	79794029	79797866	0.0
1	0	84604629	84600268	0.0	0	84598629	84600268	0.0
1	0	87020205	87018000	0.0	0	87016205	87018000	0.0
1	0	88419142	88417246	0.0	0	88415142	88417246	0.0
1	0	88519504	88515248	0.0	0	88513504	88515248	0.0
1	0	92794524	92790354	0.0	0	92788524	92790354	0.0
1	0	93006006	93001388	0.0	0	92998006	93001388	0.0
1	0	97658238	97655920	0.0	0	97654238	97655920	0.0
1A	0	8613012	8610788	0.0	0	8609012	8610788	0.0
1A	0	11775660	11772006	0.0	0	11769660	11772006	0.0
1A	0	11930536	11928896	0.0	0	11924536	11928896	0.0
1A	0	15513502	15510992	0.0	0	15507502	15510992	0.0
1A	0	18144040	18140648	0.0	0	18136040	18140648	0.0
1A	0	19335525	19332922	0.0	0	19329525	19332922	0.0
1A	0	20130069	20128646	0.0	0	20126069	20128646	0.0
1A	0	21100994	21098196	0.0	0	21092994	21098196	0.0
1A	0	21476535	21474306	0.0	0	21470535	21474306	0.0
1A	0	24119505	24114662	0.0	0	24113505	24114662	0.0
1A	0	26257055	26256572	0.0	0	26249055	26256572	0.0
1A	0	29376545	29368030	0.0	0	29362545	29368030	0.0
1A	0	32234592	32231966	0.0	0	32228592	32231966	0.0
1A	0	32935501	32934828	0.0	0	32925501	32934828	0.0
1A	0	32966029	32965546	0.0	0	32962029	32965546	0.0
1A	0	33127002	33123584	0.0	0	33123002	33123584	0.0
1A	0	34145501	34143136	0.0	0	34139501	34143136	0.0
1A	0	34981514	34978448	0.0	0	34971514	34978448	0.0
1A	0	35193592	35192682	0.0	0	35183592	35192682	0.0
1A	0	35806040	35802166	0.0	0	35798040	35802166	0.0
1A	0	39124061	39120856	0.0	0	39118061	39120856	0.0
1A	0	39499650	39498162	0.0	0	39495650	39498162	0.0
1A	0	44158218	44157826	0.0	0	44150218	44157826	0.0
1A	0	44354055	44352700	0.0	0	44350055	44352700	0.0
1A	0	44866518	44864006	0.0	0	44860518	44864006	0.0
1A	0	45028781	45026214	0.0	0	45022781	45026214	0.0
1A	0	45283145	45281198	0.0	0	45279145	45281198	0.0
1A	0	45393001	45390476	0.0	0	45385001	45390476	0.0
1A	0	46037503	46035216	0.0	0	46031503	46035216	0.0
1A	0	46631022	46629156	0.0	0	46627022	46629156	0.0
1A	0	47001062	46996966	0.0	0	46993062	46996966	0.0
1A	0	47351513	47349310	0.0	0	47345513	47349310	0.0
1A	0	47671934	47669296	0.0	0	47665934	47669296	0.0
1A	0	48364682	48361670	0.0	0	48358682	48361670	0.0
1A	0	48427541	48424710	0.0	0	48421541	48424710	0.0
1A	0	48484503	48479396	0.0	0	48474503	48479396	0.0
1A	0	49066208	49063074	0.0	0	49058208	49063074	0.0
1A	0	49496901	49493770	0.0	0	49490901	49493770	0.0
1A	0	50720038	50719620	0.0	0	50716038	50719620	0.0
1A	0	50819007	50817392	0.0	0	50815007	50817392	0.0
1A	0	51309072	51306292	0.0	0	51305072	51306292	0.0
1A	0	51445518	51441774	0.0	0	51439518	51441774	0.0
1A	0	59318599	59314646	0.0	0	59312599	59314646	0.0
1A	0	59675355	59672984	0.0	0	59671355	59672984	0.0
1A	0	14953541	14950434	0.0	0	14947541	14950434	0.0
1A	0	15485604	15482068	0.0	0	15481604	15482068	0.0
1A	0	18144040	18136464	0.0	0	18136040	18136464	0.0
1A	0	18434527	18430552	0.0	0	18428527	18430552	0.0
1A	0	19625008	19617388	0.0	0	19617008	19617388	0.0
1A	0	22531503	22530258	0.0	0	22525503	22530258	0.0
1A	0	23751019	23749302	0.0	0	23747019	23749302	0.0
1A	0	24343016	24340752	0.0	0	24339016	24340752	0.0
1A	0	25277650	25273996	0.0	0	25271650	25273996	0.0
1A	0	28798420	28796368	0.0	0	28794420	28796368	0.0
1A	0	29304593	29301664	0.0	0	29296593	29301664	0.0
1A	0	29376545	29366930	0.0	0	29362545	29366930	0.0
1A	0	29408141	29403090	0.0	0	29400141	29403090	0.0
1A	0	32935501	32927976	0.0	0	32925501	32927976	0.0
1A	0	33273002	33265704	0.0	0	33261002	33265704	0.0
1A	0	33739538	33736546	0.0	0	33733538	33736546	0.0
1A	0	35286417	35283636	0.0	0	35280417	35283636	0.0
1A	0	35763731	35760792	0.0	0	35757731	35760792	0.0
1A	0	37111542	37104318	0.0	0	37093542	37104318	0.0
1A	0	39062284	39059476	0.0	0	39058284	39059476	0.0
1A	0	40047573	40043202	0.0	0	40041573	40043202	0.0
1A	0	41457573	41454578	0.0	0	41451573	41454578	0.0
1A	0	43691237	43686384	0.0	0	43683237	43686384	0.0
1A	0	44631003	44626350	0.0	0	44619003	44626350	0.0
1A	0	46037503	46032102	0.0	0	46031503	46032102	0.0
1A	0	46558002	46554232	0.0	0	46550002	46554232	0.0
1A	0	46587577	46583358	0.0	0	46581577	46583358	0.0
1A	0	47069013	47065296	0.0	0	47065013	47065296	0.0
1A	0	49163536	49161710	0.0	0	49153536	49161710	0.0
1A	0	49300555	49295754	0.0	0	49294555	49295754	0.0
1A	0	49685026	49682626	0.0	0	49681026	49682626	0.0
1A	0	50819007	50817264	0.0	0	50815007	50817264	0.0
